incident_id,reported_date,suburb,category,status,priority,description,lat,lon
INC0001,2026-03-11,Craigieburn,Noise Complaint,Resolved,Low,Noise Complaint reported near Craigieburn community area,-37.760765,144.919413
INC0002,2026-03-02,Carlton,Noise Complaint,Open,Low,Noise Complaint reported near Carlton community area,-37.620957,144.754428
INC0003,2026-03-14,Frankston,Graffiti,Resolved,High,Graffiti reported near Frankston community area,-37.78823,145.268625
INC0004,2026-03-19,Coburg,Dumped Rubbish,Open,Low,Dumped Rubbish reported near Coburg community area,-37.857541,144.873766
INC0005,2026-03-05,Frankston,Dumped Rubbish,Resolved,Medium,Dumped Rubbish reported near Frankston community area,-37.654218,145.04896
INC0006,2026-03-21,Werribee,Graffiti,Open,Medium,Graffiti reported near Werribee community area,-37.61788,144.823575
INC0007,2026-03-22,Hawthorn,Dumped Rubbish,Resolved,Medium,Dumped Rubbish reported near Hawthorn community area,-37.735955,144.87986
INC0008,2026-03-26,Fitzroy,Graffiti,Resolved,Low,Graffiti reported near Fitzroy community area,-37.757559,145.225082
INC0009,2026-03-24,Coburg,Dumped Rubbish,Resolved,Low,Dumped Rubbish reported near Coburg community area,-37.725437,145.154285
INC0010,2026-03-05,Sunshine,Noise Complaint,Resolved,High,Noise Complaint reported near Sunshine community area,-37.829371,145.043816
INC0011,2026-03-11,Dandenong,Streetlight Fault,Resolved,Medium,Streetlight Fault reported near Dandenong community area,-37.736862,145.203981
INC0012,2026-03-09,Box Hill,Dumped Rubbish,Resolved,Low,Dumped Rubbish reported near Box Hill community area,-37.692882,145.046768
INC0013,2026-03-22,Frankston,Tree Down,Open,Low,Tree Down reported near Frankston community area,-37.704102,145.264389
INC0014,2026-03-12,Dandenong,Graffiti,Open,Low,Graffiti reported near Dandenong community area,-37.68623,145.143018
INC0015,2026-03-13,Richmond,Streetlight Fault,In Progress,Low,Streetlight Fault reported near Richmond community area,-37.720493,144.866703
INC0016,2026-03-05,Carlton,Tree Down,In Progress,Low,Tree Down reported near Carlton community area,-37.89594,145.109634
INC0017,2026-03-13,Brunswick,Noise Complaint,Open,Low,Noise Complaint reported near Brunswick community area,-37.797555,144.707238
